Sim. Command,Source,Destination,Sent,Delivered,Dropped,Num. Hop,Sending Time,Sim. Time,Tot. Time
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node8,node5,False,False,tr_node8_to_node7,0,0.06971677465809936,0.06971677465809936,0.0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node9,node4,False,False,tr_node9_to_node8,0,0.06981527266057681,0.06981527266057681,0.0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node0,False,False,tr_node7_to_node6,0,0.07000587987159027,0.07000587987159027,0.0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node4,node3,True,True,None,1,0.005575986753401349,0.070044999998,0.06446901324459865
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node0,True,True,None,1,0.023891488539898597,0.070044999998,0.0461535114581014
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node3,node2,True,True,None,1,0.012219551847026975,0.070044999998,0.05782544815097303
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node2,node1,True,True,None,1,0.0009818047461333961,0.070044999998,0.0690631952518666
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node8,node7,True,True,None,1,0.0002679810540216689,0.070044999998,0.06977701894397834
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node6,True,True,None,1,0.00039097513432284793,0.070049999998,0.06965902486367716
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node8,node9,True,True,None,1,0.00021378111785673177,0.070049999998,0.06983621888014327
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node0,True,True,None,1,0.06692374840584098,0.07005779999799999,0.003134051592159015
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node9,node8,True,True,None,1,0.007248685275313977,0.07005779999799999,0.06280911472268602
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node8,node7,True,True,None,1,0.0014841067943759199,0.07005779999799999,0.06857369320362407
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node6,True,True,None,1,0.004593194992753837,0.07005779999799999,0.06546460500524616
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node0,node1,True,True,None,1,0.002486331774889328,0.070062799998,0.06757646822311067
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node8,True,True,None,1,0.007539090547854982,0.070062799998,0.06252370945014502
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node4,node5,True,True,None,1,0.015829478210258503,0.070062799998,0.0542333217877415
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node9,True,True,None,2,0.00016234601199942978,0.070062799998,0.06990045398600057
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node7,True,True,None,1,0.030397068855791312,0.070062799998,0.039665731142208685
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node3,True,False,tr_node2_to_node3,1,0.007277490674561203,0.070062799998,0.06278530932343879
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node8,node7,True,True,None,1,0.00569372579534836,0.070070599998,0.06437687420265165
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node4,node3,True,True,None,1,0.016384497193686266,0.070070599998,0.05368610280431373
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node0,True,True,None,1,0.06822071220096872,0.070070599998,0.0018498877970312827
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node8,True,True,None,1,0.023856818677315924,0.070075599998,0.04621878132068408
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node4,node5,True,True,None,1,0.0279221593386227,0.070075599998,0.0421534406593773
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node6,True,True,None,1,0.04564025426208823,0.070075599998,0.024435345735911773
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node4,True,False,tr_node2_to_node3,1,0.010505849591910624,0.070075599998,0.05956975040608938
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node2,node0,True,True,None,2,0.008106385141500711,0.07008339999799999,0.061977014856499285
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node4,True,True,None,1,0.0344861622615181,0.07008339999799999,0.03559723773648189
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node6,True,True,None,1,0.04889568740463102,0.070088399998,0.021192712593368974
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node2,True,True,None,1,0.014130114050235898,0.070088399998,0.0559582859477641
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node9,node5,True,False,tr_node8_to_node7,1,0.040346025259363344,0.070089799998,0.029743774738636652
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node9,True,True,None,2,0.02416050928946222,0.070094799998,0.04593429070853778
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node3,node1,True,True,None,2,0.015321641279016819,0.070096199998,0.05477455871898318
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node2,node0,True,True,None,2,0.01948376728548082,0.070096199998,0.05061243271251918
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node3,node4,True,True,None,1,0.0421292276240356,0.070101199998,0.027971972373964406
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node5,True,False,tr_node2_to_node3,1,0.024405333369793017,0.070101199998,0.04569586662820699
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node9,True,True,None,2,0.06456671179967657,0.070107599998,0.005540888198323421
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node9,True,False,tr_node2_to_node3,1,0.029136995494829218,0.070107599998,0.04097060450317078
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node2,node0,True,True,None,2,0.04555492211421152,0.070108999998,0.024554077883788474
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node7,True,True,None,2,0.037092715004205225,0.070113999998,0.033021284993794774
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node3,node4,True,True,None,1,0.04475844493723276,0.070113999998,0.02535555506076724
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node8,True,False,tr_node2_to_node3,1,0.03362218700715679,0.070113999998,0.03649181299084321
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node9,True,True,None,3,0.004189233854626149,0.070120399998,0.06593116614337385
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node6,True,False,tr_node2_to_node3,1,0.03872726241083677,0.070120399998,0.03139313758716323
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node7,True,True,None,2,0.050909084460229286,0.07012679999799999,0.019217715537770706
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node3,node4,True,True,None,1,0.047190883681010674,0.07012679999799999,0.022935916316989317
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node8,True,True,None,2,0.04733941592717303,0.07012679999799999,0.022787384070826963
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node9,True,False,tr_node2_to_node3,1,0.0392896276277578,0.07012679999799999,0.030837172370242194
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node1,node6,True,False,tr_node2_to_node3,1,0.04805446489807889,0.070133199998,0.022078735099921108
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node6,True,True,None,1,0.03932484047629646,0.070134599998,0.030809759521703534
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node4,True,True,None,2,0.00034755649878894857,0.070134599998,0.06978704349921104
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node3,True,True,None,2,0.006970662998927289,0.070134599998,0.0631639369990727
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node5,node7,True,True,None,2,0.05174159195946338,0.070139599998,0.01839800803853662
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node8,True,True,None,2,0.06555244912417058,0.070139599998,0.004587150873829424
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node0,node6,True,False,tr_node2_to_node3,2,0.0018553537486504044,0.070139599998,0.06828424624934959
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node0,node9,True,False,tr_node2_to_node3,2,0.0052644847581905,0.070145999998,0.0648815152398095
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node6,True,True,None,1,0.04007895672294479,0.070147399998,0.030068443275055208
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node6,node8,True,True,None,2,0.06994933226831739,0.07015239999799999,0.00020306772968260722
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node0,node8,True,False,tr_node2_to_node3,2,0.010359699518257886,0.07015239999799999,0.059792700479742104
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node0,node6,True,False,tr_node2_to_node3,2,0.015466697683215588,0.070158799998,0.054692102314784406
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,node7,node5,True,True,None,2,0.000823065818662733,0.070160199998,0.06933713417933726
